,Zillow,Econ
0,"Suffolk County, NY","Suffolk County, NY"
1,"Tippah County, MS","Tippah County, MS"
2,"Lee County, AL","Lee County, AL"
3,"Houston County, AL","Houston County, AL"
4,"Newton County, MO","Newton County, MO"
5,"Pike County, KY","Pike County, KY"
6,"Hardin County, TX","Hardin County, TX"
7,"Crawford County, MI","Crawford County, MI"
8,"Jackson County, MS","Jackson County, MS"
9,"Coffee County, AL","Coffee County, AL"
10,"Saint Mary Parish, LA","St. Mary Parish, LA"
11,"Pickens County, SC","Pickens County, SC"
12,"Westmoreland County, PA","Westmoreland County, PA"
13,"Kane County, UT","Kane County, UT"
14,"Midland County, TX","Midland County, TX"
15,"Wise County, TX","Wise County, TX"
16,"Lafayette Parish, LA","Lafayette Parish, LA"
17,"Lawrence County, AR","Lawrence County, AR"
18,"Cass County, NE","Cass County, NE"
19,"Gunnison County, CO","Gunnison County, CO"
20,"Pike County, OH","Pike County, OH"
21,"Erath County, TX","Erath County, TX"
22,"San Miguel County, NM","San Miguel County, NM"
23,"Winnebago County, IL","Winnebago County, IL"
24,"Cameron County, TX","Cameron County, TX"
25,"Lincoln Parish, LA","Lincoln Parish, LA"
26,"Cullman County, AL","Cullman County, AL"
27,"Grand County, CO","Grand County, CO"
28,"Saint Francis County, AR","St. Francis County, AR"
29,"Sabine Parish, LA","Sabine Parish, LA"
30,"Archuleta County, CO","Archuleta County, CO"
31,"East Feliciana Parish, LA","East Feliciana Parish, LA"
32,"Hampden County, MA","Hampden County, MA"
33,"Hampshire County, MA","Hampshire County, MA"
34,"Worcester County, MA","Worcester County, MA"
35,"Jefferson County, TX","Jefferson County, TX"
36,"Berkshire County, MA","Berkshire County, MA"
37,"Franklin County, MA","Franklin County, MA"
38,"Middlesex County, MA","Middlesex County, MA"
39,"Jasper County, MS","Jasper County, MS"
40,"Rio Arriba County, NM","Rio Arriba County, NM"
41,"Essex County, MA","Essex County, MA"
42,"Norfolk County, MA","Norfolk County, MA"
43,"Plymouth County, MA","Plymouth County, MA"
44,"Bristol County, MA","Bristol County, MA"
45,"Suffolk County, MA","Suffolk County, MA"
46,"Liberty County, TX","Liberty County, TX"
47,"Barnstable County, MA","Barnstable County, MA"
48,"Dukes County, MA","Dukes County, MA"
49,"Nantucket County, MA","Nantucket County/town, MA"
50,"Charleston County, SC","Charleston County, SC"
51,"Providence County, RI","Providence County, RI"
52,"Washington County, RI","Washington County, RI"
53,"Bristol County, RI","Bristol County, RI"
54,"Kent County, RI","Kent County, RI"
55,"Newport County, RI","Newport County, RI"
56,"Hillsborough County, NH","Hillsborough County, NH"
57,"Rockingham County, NH","Rockingham County, NH"
58,"Merrimack County, NH","Merrimack County, NH"
59,"Grafton County, NH","Grafton County, NH"
60,"Belknap County, NH","Belknap County, NH"
61,"Carroll County, NH","Carroll County, NH"
62,"Sullivan County, NH","Sullivan County, NH"
63,"Cheshire County, NH","Cheshire County, NH"
64,"Coos County, NH","Coos County, NH"
65,"Bosque County, TX","Bosque County, TX"
66,"Strafford County, NH","Strafford County, NH"
67,"York County, ME","York County, ME"
68,"Cumberland County, ME","Cumberland County, ME"
69,"Sagadahoc County, ME","Sagadahoc County, ME"
70,"Oxford County, ME","Oxford County, ME"
71,"Androscoggin County, ME","Androscoggin County, ME"
72,"Franklin County, ME","Franklin County, ME"
73,"Kennebec County, ME","Kennebec County, ME"
74,"Lincoln County, ME","Lincoln County, ME"
75,"Waldo County, ME","Waldo County, ME"
76,"Penobscot County, ME","Penobscot County, ME"
77,"Piscataquis County, ME","Piscataquis County, ME"
78,"Hancock County, ME","Hancock County, ME"
79,"Washington County, ME","Washington County, ME"
80,"Keokuk County, IA","Keokuk County, IA"
81,"Aroostook County, ME","Aroostook County, ME"
82,"Monroe County, PA","Monroe County, PA"
83,"Knox County, ME","Knox County, ME"
84,"Cotton County, OK","Cotton County, OK"
85,"Somerset County, ME","Somerset County, ME"
86,"Escambia County, FL","Escambia County, FL"
87,"Windsor County, VT","Windsor County, VT"
88,"Orange County, VT","Orange County, VT"
89,"Caledonia County, VT","Caledonia County, VT"
90,"Windham County, VT","Windham County, VT"
91,"Bennington County, VT","Bennington County, VT"
92,"Chittenden County, VT","Chittenden County, VT"
93,"Grand Isle County, VT","Grand Isle County, VT"
94,"Franklin County, VT","Franklin County, VT"
95,"Lamoille County, VT","Lamoille County, VT"
96,"Addison County, VT","Addison County, VT"
97,"Washington County, VT","Washington County, VT"
98,"Rutland County, VT","Rutland County, VT"
99,"Orleans County, VT","Orleans County, VT"
100,"Essex County, VT","Essex County, VT"
101,"Hartford County, CT","Hartford County, CT"
102,"Litchfield County, CT","Litchfield County, CT"
103,"Tolland County, CT","Tolland County, CT"
104,"Windham County, CT","Windham County, CT"
105,"New London County, CT","New London County, CT"
106,"New Haven County, CT","New Haven County, CT"
107,"Middlesex County, CT","Middlesex County, CT"
108,"Fairfield County, CT","Fairfield County, CT"
109,"Middlesex County, NJ","Middlesex County, NJ"
110,"Hudson County, NJ","Hudson County, NJ"
111,"Essex County, NJ","Essex County, NJ"
112,"Morris County, NJ","Morris County, NJ"
113,"Bergen County, NJ","Bergen County, NJ"
114,"Passaic County, NJ","Passaic County, NJ"
115,"Union County, NJ","Union County, NJ"
116,"Somerset County, NJ","Somerset County, NJ"
117,"Sussex County, NJ","Sussex County, NJ"
118,"Monmouth County, NJ","Monmouth County, NJ"
119,"Warren County, NJ","Warren County, NJ"
120,"Hunterdon County, NJ","Hunterdon County, NJ"
121,"Gila County, AZ","Gila County, AZ"
122,"Salem County, NJ","Salem County, NJ"
123,"Camden County, NJ","Camden County, NJ"
124,"Ocean County, NJ","Ocean County, NJ"
125,"Burlington County, NJ","Burlington County, NJ"
126,"Gloucester County, NJ","Gloucester County, NJ"
127,"Atlantic County, NJ","Atlantic County, NJ"
128,"Cape May County, NJ","Cape May County, NJ"
129,"Cumberland County, NJ","Cumberland County, NJ"
130,"Mercer County, NJ","Mercer County, NJ"
131,"Logan County, WV","Logan County, WV"
132,"New York County, NY","New York County, NY"
133,"Richmond County, NY","Richmond County, NY"
134,"Bronx County, NY","Bronx County, NY"
135,"Westchester County, NY","Westchester County, NY"
136,"Putnam County, NY","Putnam County, NY"
137,"Rockland County, NY","Rockland County, NY"
138,"Orange County, NY","Orange County, NY"
139,"Nassau County, NY","Nassau County, NY"
140,"Queens County, NY","Queens County, NY"
141,"Kings County, NY","Kings County, NY"
142,"Albany County, NY","Albany County, NY"
143,"Schenectady County, NY","Schenectady County, NY"
144,"Montgomery County, NY","Montgomery County, NY"
145,"Greene County, NY","Greene County, NY"
146,"Columbia County, NY","Columbia County, NY"
147,"Rensselaer County, NY","Rensselaer County, NY"
148,"Saratoga County, NY","Saratoga County, NY"
149,"Fulton County, NY","Fulton County, NY"
150,"Washington County, NY","Washington County, NY"
151,"Schoharie County, NY","Schoharie County, NY"
152,"Otsego County, NY","Otsego County, NY"
153,"Hamilton County, NY","Hamilton County, NY"
154,"Delaware County, NY","Delaware County, NY"
155,"Ulster County, NY","Ulster County, NY"
156,"Dutchess County, NY","Dutchess County, NY"
157,"Sullivan County, NY","Sullivan County, NY"
158,"Warren County, NY","Warren County, NY"
159,"Essex County, NY","Essex County, NY"
160,"Clinton County, NY","Clinton County, NY"
161,"Franklin County, NY","Franklin County, NY"
162,"Saint Lawrence County, NY","St. Lawrence County, NY"
163,"Onondaga County, NY","Onondaga County, NY"
164,"Cayuga County, NY","Cayuga County, NY"
165,"Oswego County, NY","Oswego County, NY"
166,"Madison County, NY","Madison County, NY"
167,"Cortland County, NY","Cortland County, NY"
168,"Oneida County, NY","Oneida County, NY"
169,"Tompkins County, NY","Tompkins County, NY"
170,"Seneca County, NY","Seneca County, NY"
171,"Chenango County, NY","Chenango County, NY"
172,"Wayne County, NY","Wayne County, NY"
173,"Buchanan County, IA","Buchanan County, IA"
174,"Lewis County, NY","Lewis County, NY"
175,"Herkimer County, NY","Herkimer County, NY"
176,"Jefferson County, NY","Jefferson County, NY"
177,"Orleans Parish, LA","Orleans Parish, LA"
178,"Matanuska Susitna Borough, AK","Matanuska-Susitna Borough, AK"
179,"Tioga County, NY","Tioga County, NY"
180,"Broome County, NY","Broome County, NY"
181,"Erie County, NY","Erie County, NY"
182,"Genesee County, NY","Genesee County, NY"
183,"Niagara County, NY","Niagara County, NY"
184,"Wyoming County, NY","Wyoming County, NY"
185,"Cattaraugus County, NY","Cattaraugus County, NY"
186,"Chautauqua County, NY","Chautauqua County, NY"
187,"Allegany County, NY","Allegany County, NY"
188,"Orleans County, NY","Orleans County, NY"
189,"Crosby County, TX","Crosby County, TX"
190,"Livingston County, NY","Livingston County, NY"
